,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,59,Federal-gov,112356,15,Divorced,Exec-managerial,Wife,White,0,13,0,21,United-States,0
1,69,?,221553,9,Widowed,?,Unmarried,White,0,2,0,21,United-States,0
2,18,Self-emp-not-inc,216015,9,Married-civ-spouse,,Not-in-family,White,1,0,1838,40,United-States,0
3,63,?,193605,9,Separated,?,Other-relative,Black,1,0,0,11,United-States,0
4,42,Private,213233,10,Divorced,Machine-op-inspct,Unmarried,White,0,10,0,23,England,0
5,57,Private,460454,9,Separated,Other-service,Other-relative,White,1,0,0,50,Mexico,0
6,29,Self-emp-inc,107133,3,Married-civ-spouse,Exec-managerial,Husband,White,0,1,0,40,United-States,0
7,32,Private,84059,9,Married-civ-spouse,Machine-op-inspct,Wife,White,0,1,0,45,United-States,0
8,68,Self-emp-not-inc,96710,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States,0
9,23,Federal-gov,75973,7,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,0,0,0,20,Philippines,0
10,20,Private,271296,6,Never-married,Farming-fishing,Own-child,White,1,4,0,40,United-States,0
11,31,Local-gov,163917,13,Married-civ-spouse,Sales,Husband,White,0,33,0,40,United-States,0
12,28,Self-emp-not-inc,109256,9,Married-civ-spouse,Exec-managerial,Husband,White,1,29,0,55,United-States,0
13,22,Private,265671,6,Never-married,Machine-op-inspct,Not-in-family,White,1,17,1,56,Mexico,0
14,40,Self-emp-not-inc,185725,10,Married-civ-spouse,Farming-fishing,Husband,White,1,2,0,57,United-States,0
15,19,Private,168281,7,Never-married,Other-service,Other-relative,White,0,0,0,63,Mexico,0
16,44,Federal-gov,129213,9,Divorced,Tech-support,Unmarried,Black,0,36,0,40,United-States,0
17,19,Never-worked,218062,9,Never-married,Farming-fishing,Other-relative,White,1,0,1,23,United-States,0
18,28,Private,341327,9,Never-married,Handlers-cleaners,Own-child,White,1,13,0,20,United-States,0
19,32,Private,138816,9,Married-civ-spouse,Sales,Husband,Black,1,26,0,35,United-States,0
20,29,Local-gov,113310,13,Married-civ-spouse,Prof-specialty,Husband,White,1,20,0,40,United-States,0
21,26,Private,464351,13,Married-civ-spouse,Exec-managerial,Husband,White,1,22,1861,55,United-States,0
