,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,24,Federal-gov,202503,14,Never-married,Tech-support,Not-in-family,White,0,0,0,40,United-States,0
1,63,Self-emp-not-inc,260456,6,Widowed,Other-service,Unmarried,Black,0,0,0,34,United-States,0
2,41,Private,108545,9,Divorced,Sales,Husband,White,0,0,0,40,United-States,0
3,55,?,149550,9,Married-civ-spouse,?,Wife,White,0,0,0,9,United-States,0
4,23,Private,205501,10,Never-married,Prof-specialty,Other-relative,White,0,0,0,10,United-States,0
5,58,Local-gov,197505,9,Separated,Other-service,Not-in-family,Black,0,0,0,40,Canada,0
6,21,Self-emp-inc,326055,9,Married-civ-spouse,Sales,Own-child,White,1,0,0,40,United-States,0
7,18,Private,190425,10,Never-married,Other-service,Unmarried,White,0,0,0,16,United-States,0
8,48,Self-emp-not-inc,34209,9,Widowed,Other-service,Not-in-family,White,0,0,0,25,United-States,0
9,26,Private,157911,14,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,0,0,0,40,Philippines,0
10,23,Self-emp-not-inc,41426,9,Divorced,Exec-managerial,Husband,White,1,0,0,57,United-States,0
11,18,Local-gov,197492,10,Never-married,Adm-clerical,Own-child,White,0,0,0,20,United-States,0
12,46,Self-emp-not-inc,198602,9,Married-civ-spouse,?,Husband,White,1,0,0,56,United-States,0
13,24,Private,307641,5,Never-married,Other-service,Not-in-family,White,0,0,0,34,Mexico,0
14,46,Private,279939,14,Never-married,Prof-specialty,Not-in-family,White,1,0,0,40,United-States,0
15,25,Private,198169,7,Never-married,Adm-clerical,Other-relative,White,0,0,0,40,United-States,0
16,53,Federal-gov,209877,14,Divorced,,Unmarried,White,0,0,0,40,United-States,0
17,47,Never-worked,184332,13,Married-civ-spouse,?,Husband,White,1,0,0,34,United-States,0
18,63,,249770,9,Married-civ-spouse,?,Husband,White,1,0,0,11,United-States,0
19,51,Private,320104,6,Widowed,Other-service,Other-relative,White,0,0,0,57,United-States,0
20,36,State-gov,295774,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,40,United-States,0
21,30,Private,189307,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,2935,45,United-States,0
22,52,Never-worked,225162,14,Married-civ-spouse,?,Wife,White,0,0,0,8,United-States,0
23,47,Private,104658,9,Divorced,Craft-repair,Not-in-family,White,0,0,0,40,United-States,0
24,47,?,371778,9,Never-married,?,Not-in-family,White,1,0,0,15,United-States,0
25,41,Private,171112,10,Married-civ-spouse,Transport-moving,Wife,White,1,0,0,40,United-States,0
26,40,Self-emp-inc,77009,16,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,1,7502,0,40,Philippines,0
27,36,Private,171713,13,Divorced,Tech-support,Wife,White,0,0,0,40,United-States,0
28,37,Private,354900,9,Never-married,Craft-repair,Own-child,White,1,0,0,59,United-States,0
29,36,Private,231066,9,Widowed,Machine-op-inspct,Unmarried,White,0,0,0,20,United-States,0
30,68,Private,372517,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,58,United-States,0
31,50,?,203303,9,Separated,Prof-specialty,Not-in-family,Black,0,0,0,40,?,0
32,45,Private,223886,9,Divorced,Tech-support,Not-in-family,White,0,0,0,61,United-States,0
33,41,Private,182903,14,Never-married,Adm-clerical,Not-in-family,White,0,0,0,25,United-States,0
34,40,Private,244015,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,2000,55,United-States,0
35,29,Federal-gov,134772,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States,0
36,62,Self-emp-not-inc,248100,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,59,United-States,0
37,23,Local-gov,248324,9,Never-married,Sales,Not-in-family,White,0,0,0,25,United-States,0
38,51,Private,196414,9,Married-civ-spouse,Sales,Husband,White,1,0,0,45,United-States,0
39,64,Self-emp-inc,278032,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,790,60,United-States,0
40,22,Local-gov,180772,7,Never-married,Adm-clerical,Own-child,White,1,0,0,40,United-States,0
41,41,Self-emp-inc,338585,13,Never-married,Exec-managerial,Not-in-family,White,1,0,0,50,United-States,0
42,27,Private,171911,10,Separated,Adm-clerical,Unmarried,White,0,0,1452,40,United-States,0
43,59,Private,168446,9,Divorced,Protective-serv,Not-in-family,White,1,0,0,56,United-States,0
44,35,Self-emp-inc,305606,13,Never-married,Tech-support,Not-in-family,Black,0,0,1030,40,United-States,0
45,36,Private,185101,9,Married-civ-spouse,Sales,Husband,White,1,0,0,53,United-States,0
46,35,Private,96178,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,45,United-States,0
47,36,Private,108258,9,Married-civ-spouse,Craft-repair,Wife,White,0,0,0,35,United-States,0
48,17,Private,392103,9,Never-married,Other-service,Not-in-family,White,1,0,0,34,United-States,0
49,39,Self-emp-not-inc,197136,9,Never-married,Adm-clerical,Not-in-family,Black,1,0,0,50,United-States,0
50,52,Private,236893,14,Married-AF-spouse,Exec-managerial,Wife,White,0,0,0,50,United-States,0
51,34,Private,186168,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,1807,62,United-States,0
52,41,Self-emp-not-inc,371347,9,Never-married,Machine-op-inspct,Not-in-family,White,1,0,0,34,United-States,0
53,46,Self-emp-inc,79659,9,Married-civ-spouse,Prof-specialty,Husband,White,1,0,542,50,United-States,0
54,56,Self-emp-not-inc,101250,10,Married-civ-spouse,Sales,Wife,White,0,0,0,33,United-States,0
55,44,Self-emp-inc,204072,13,Never-married,Sales,Own-child,White,0,0,1603,40,United-States,0
56,33,Private,378648,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,54,United-States,0
57,35,Private,174944,7,Never-married,Adm-clerical,Own-child,White,1,0,0,35,United-States,0
58,43,Private,202062,10,Married-civ-spouse,Farming-fishing,Husband,White,1,0,1984,50,United-States,0
59,53,Self-emp-inc,58674,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,2815,40,United-States,0
60,30,Private,201792,13,Married-spouse-absent,Machine-op-inspct,Husband,Other,1,0,0,40,,0
61,41,Private,610360,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,0,0,0,40,Puerto-Rico,0
62,48,Private,150569,13,Divorced,Craft-repair,Not-in-family,White,1,0,0,40,United-States,0
63,45,Private,214488,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,15,Greece,0
64,20,Private,202693,10,Never-married,Craft-repair,Own-child,White,1,0,0,35,United-States,0
65,57,Local-gov,186987,9,Never-married,Protective-serv,Husband,Other,1,0,2493,40,?,0
66,37,Private,204896,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
67,54,Local-gov,46504,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,61,United-States,0
68,37,Private,168855,7,Never-married,Sales,Not-in-family,White,0,0,0,33,El-Salvador,0
69,64,Self-emp-not-inc,181966,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,63,United-States,0
70,68,Private,336562,9,Married-civ-spouse,Transport-moving,Husband,Black,1,5274,0,40,United-States,0
71,55,Private,88589,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,0,1356,40,China,0
72,39,Private,158112,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,1,0,2011,40,Dominican-Republic,0
73,32,Private,100663,9,Divorced,Craft-repair,Husband,White,1,0,0,59,United-States,0
74,69,Private,263237,9,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States,0
75,67,,122311,13,Married-civ-spouse,,Husband,White,1,0,1830,40,United-States,0
76,41,Private,258487,9,Divorced,Craft-repair,Unmarried,Black,0,0,0,40,United-States,0
77,34,Federal-gov,188328,9,Never-married,Other-service,Other-relative,White,1,0,0,40,United-States,0
78,19,Private,196500,7,Never-married,Adm-clerical,Own-child,White,1,0,0,16,United-States,0
79,32,Private,292043,4,Never-married,Adm-clerical,Unmarried,White,0,0,0,38,Puerto-Rico,0
80,21,Private,300324,5,Never-married,Machine-op-inspct,Own-child,Other,1,0,0,30,Mexico,0
81,53,Private,64162,9,Married-civ-spouse,Other-service,Husband,White,1,0,0,40,United-States,0
82,40,Self-emp-inc,118879,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,62,United-States,0
83,25,Private,398806,14,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,1,0,0,40,Poland,0
84,25,Private,165806,10,Never-married,Machine-op-inspct,Other-relative,Other,0,0,0,40,Haiti,0
85,28,Private,178534,10,Never-married,Prof-specialty,Not-in-family,White,1,0,2777,40,Germany,0
86,46,Private,222057,7,Never-married,?,Unmarried,White,0,0,0,34,United-States,0
87,33,,26903,10,Married-civ-spouse,,Husband,Black,1,0,0,9,United-States,0
88,55,Local-gov,264854,10,Widowed,Adm-clerical,Unmarried,White,0,0,0,34,United-States,0
89,57,State-gov,228343,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,57,United-States,0
90,40,Self-emp-not-inc,177659,14,Never-married,Exec-managerial,Not-in-family,White,0,6319,2156,40,United-States,0
91,25,Private,114094,13,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States,0
92,18,Private,366181,9,Never-married,Other-service,Not-in-family,White,0,0,0,31,Columbia,0
93,35,Private,242360,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,Philippines,0
94,26,Private,281791,9,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,1,0,0,40,United-States,0
95,43,Private,295411,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,2426,45,United-States,0
96,65,Private,308763,9,Divorced,Tech-support,Not-in-family,White,1,0,0,40,United-States,0
97,52,Private,327425,9,Widowed,Adm-clerical,Unmarried,White,0,0,0,50,United-States,0
98,17,Private,315507,10,Never-married,Other-service,Not-in-family,Black,0,0,0,40,United-States,0
99,27,Local-gov,363051,13,Married-civ-spouse,Prof-specialty,Husband,Black,1,0,1503,40,Jamaica,0
100,29,,108343,10,Married-civ-spouse,,Husband,White,1,0,0,9,United-States,0
101,37,Private,187863,9,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,United-States,0
102,28,Private,193570,13,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,0,0,0,40,United-States,0
103,54,Private,249843,9,Separated,Other-service,Unmarried,Black,0,0,0,40,United-States,0
104,17,Private,185464,13,Never-married,Exec-managerial,Wife,White,0,0,2459,45,United-States,0
105,24,Private,125687,9,Never-married,Farming-fishing,Not-in-family,White,1,0,0,40,United-States,0
106,53,?,264192,13,Widowed,?,Husband,White,1,0,0,9,United-States,0
107,22,Private,184731,9,Married-civ-spouse,Handlers-cleaners,Other-relative,Other,1,0,0,40,Philippines,0
108,32,Private,234267,12,Never-married,Craft-repair,Other-relative,Other,1,0,0,40,Mexico,0
109,35,Private,336991,13,Never-married,Prof-specialty,Not-in-family,White,1,0,0,40,United-States,0
110,34,?,280140,10,Married-civ-spouse,?,Husband,White,1,0,2753,7,United-States,0
111,26,Private,175755,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States,0
112,40,Federal-gov,209020,9,Widowed,Craft-repair,Not-in-family,Black,1,0,0,40,United-States,0
113,20,Private,208816,10,Never-married,Adm-clerical,Own-child,White,0,0,0,40,United-States,0
114,58,Private,292028,12,Married-spouse-absent,Adm-clerical,Wife,Other,0,0,0,32,Nicaragua,0
115,33,Private,273131,10,Never-married,Adm-clerical,Unmarried,Black,0,0,0,35,United-States,0
116,73,,181851,7,Married-civ-spouse,,Husband,White,1,0,0,11,United-States,0
117,49,Private,247868,13,Divorced,Adm-clerical,Unmarried,White,0,0,1125,40,United-States,0
118,27,Private,158678,13,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,51,United-States,0
119,35,Self-emp-inc,214033,13,Never-married,Exec-managerial,Own-child,White,1,0,0,40,United-States,0
120,22,Private,224677,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,Nicaragua,0
121,17,,291627,7,Never-married,Prof-specialty,Own-child,Black,1,0,0,40,United-States,0
122,54,Private,348395,9,Divorced,Other-service,Unmarried,White,0,0,0,40,Philippines,0
123,53,Local-gov,221996,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,United-States,0
124,42,Private,230818,9,Never-married,Transport-moving,Not-in-family,White,0,0,0,32,Mexico,0
125,36,Local-gov,288523,9,Never-married,Transport-moving,Not-in-family,White,1,3793,0,61,United-States,0
126,29,Private,193937,4,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,50,United-States,0
127,59,,216708,9,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,0,0,0,37,United-States,0
128,33,Private,176315,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,1,0,2361,40,Philippines,0
129,41,Private,295928,9,Separated,Other-service,Not-in-family,White,0,0,0,66,United-States,0
130,25,Private,112083,12,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,0,0,825,45,Scotland,0
131,37,Private,247781,13,Married-civ-spouse,Farming-fishing,Husband,White,1,0,1762,50,Mexico,0
132,41,Private,201057,9,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States,0
133,28,Local-gov,193265,12,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,0,0,1277,40,Philippines,0
134,39,Private,217652,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States,0
135,47,Local-gov,273690,14,Never-married,Prof-specialty,Own-child,Other,1,0,0,50,France,0
136,42,Private,188799,11,Married-spouse-absent,Sales,Unmarried,White,0,0,0,54,Germany,0
