age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
44,Private,25,100,Widowed,t,Own-child,Asian-Pac-Islander,Female,29,19,44,0
47,Self-emp-not-inc,89,43,Married-spouse-absent,h,Husband,White,Male,78,74,49,1
64,?,67,87,Widowed,b,Wife,Other,Female,89,6,74,1
67,?,30,15,Married-AF-spouse,w,Husband,Black,Female,86,9,72,1
67,Federal-gov,68,27,Married-civ-spouse,y,Unmarried,Amer-Indian-Eskimo,Female,16,19,73,0
9,State-gov,36,26,Divorced,t,Not-in-family,White,Male,16,93,30,0
83,State-gov,65,57,Divorced,h,Own-child,White,Male,16,99,28,1
21,Self-emp-inc,14,51,Widowed,c,Own-child,White,Female,73,88,38,1
36,Federal-gov,38,54,Widowed,r,Own-child,Black,Male,8,96,35,0
87,Without-pay,54,46,Married-AF-spouse,n,Wife,Asian-Pac-Islander,Female,53,15,70,1
70,Self-emp-not-inc,39,41,Married-spouse-absent,d,Husband,Asian-Pac-Islander,Male,85,7,27,1
88,Local-gov,9,62,Married-civ-spouse,k,Other-relative,Other,Female,32,85,0,0
88,?,50,6,Widowed,j,Wife,Black,Male,60,2,20,1
12,?,3,10,Never-married,o,Own-child,Amer-Indian-Eskimo,Female,79,28,86,0
58,Self-emp-inc,28,89,Married-civ-spouse,e,Other-relative,White,Female,92,9,50,0
65,Private,58,79,Married-AF-spouse,o,Husband,White,Male,75,25,86,1
39,State-gov,49,18,Married-spouse-absent,t,Unmarried,Black,Male,14,91,1,1
87,Self-emp-not-inc,39,96,Married-AF-spouse,k,Other-relative,Other,Male,8,0,32,0
46,Self-emp-not-inc,22,25,Never-married,t,Other-relative,Asian-Pac-Islander,Male,10,41,61,0
88,Local-gov,53,7,Married-AF-spouse,s,Own-child,Black,Male,9,46,67,0
81,Without-pay,26,0,Separated,m,Not-in-family,Black,Female,90,42,4,0
37,Federal-gov,15,71,Married-AF-spouse,u,Other-relative,Other,Female,23,77,26,0
25,Never-worked,71,72,Divorced,x,Other-relative,Asian-Pac-Islander,Female,90,44,38,1
77,Never-worked,7,75,Married-spouse-absent,x,Husband,White,Male,11,76,44,1
72,Local-gov,60,21,Never-married,d,Husband,Other,Female,65,4,80,0
9,Self-emp-not-inc,95,17,Married-AF-spouse,s,Own-child,Other,Female,93,33,35,1
20,?,23,21,Separated,f,Husband,Amer-Indian-Eskimo,Male,45,80,4,0
80,Local-gov,47,46,Married-AF-spouse,j,Unmarried,Amer-Indian-Eskimo,Female,0,77,99,1
69,State-gov,93,96,Married-civ-spouse,b,Other-relative,White,Female,13,31,6,0
79,Never-worked,42,39,Married-civ-spouse,o,Not-in-family,Asian-Pac-Islander,Female,40,40,49,0
47,Self-emp-not-inc,7,67,Widowed,u,Other-relative,Amer-Indian-Eskimo,Female,77,16,66,0
64,Self-emp-inc,74,44,Never-married,s,Not-in-family,Other,Female,22,76,37,1
82,Local-gov,38,18,Separated,m,Not-in-family,Asian-Pac-Islander,Male,6,27,55,0
99,Self-emp-inc,78,58,Married-spouse-absent,e,Not-in-family,Asian-Pac-Islander,Male,89,85,42,0
88,Local-gov,78,14,Divorced,w,Not-in-family,White,Male,69,80,26,1
49,Private,95,71,Separated,c,Wife,Other,Female,37,4,2,1
29,State-gov,45,61,Widowed,r,Unmarried,Amer-Indian-Eskimo,Female,74,32,88,0
19,Never-worked,72,1,Never-married,y,Wife,Other,Female,5,60,91,0
19,Private,34,96,Never-married,r,Not-in-family,Black,Male,56,30,29,0
14,Private,52,52,Married-AF-spouse,x,Other-relative,Amer-Indian-Eskimo,Male,72,15,59,0
39,Federal-gov,74,38,Married-civ-spouse,z,Own-child,Asian-Pac-Islander,Male,92,64,90,0
32,State-gov,59,28,Married-civ-spouse,g,Husband,Amer-Indian-Eskimo,Male,42,58,15,1
65,Without-pay,22,8,Divorced,b,Unmarried,Amer-Indian-Eskimo,Female,18,52,37,0
9,?,61,79,Never-married,m,Own-child,White,Male,38,85,44,0
57,?,87,99,Married-AF-spouse,m,Unmarried,Asian-Pac-Islander,Male,99,57,7,1
32,Self-emp-not-inc,32,40,Widowed,i,Wife,Black,Male,21,74,73,1
31,?,86,19,Married-civ-spouse,t,Own-child,Amer-Indian-Eskimo,Female,79,37,63,0
74,Without-pay,58,77,Widowed,y,Wife,White,Male,83,30,80,1
23,Local-gov,45,41,Never-married,t,Own-child,Asian-Pac-Islander,Female,55,5,33,1
35,Local-gov,19,16,Married-civ-spouse,r,Other-relative,Asian-Pac-Islander,Female,72,54,5,0
75,Local-gov,94,36,Separated,f,Own-child,Black,Female,63,52,84,1
55,Self-emp-inc,37,7,Never-married,n,Other-relative,Black,Female,3,14,24,1
28,Private,12,93,Married-spouse-absent,i,Wife,White,Female,66,21,88,1
34,Private,13,60,Married-AF-spouse,y,Wife,White,Male,96,70,49,1
0,Private,34,1,Married-spouse-absent,s,Other-relative,White,Male,4,75,77,1
0,Without-pay,6,83,Married-civ-spouse,c,Husband,Amer-Indian-Eskimo,Female,13,33,89,0
36,Self-emp-inc,2,59,Never-married,q,Unmarried,Asian-Pac-Islander,Female,50,17,69,1
53,Without-pay,6,23,Widowed,s,Husband,White,Female,20,31,41,1
5,State-gov,42,8,Never-married,n,Own-child,Other,Female,89,26,18,0
38,Self-emp-not-inc,40,44,Widowed,e,Other-relative,White,Female,94,18,31,1
17,?,49,73,Separated,u,Unmarried,Black,Male,81,57,88,1
79,Local-gov,78,80,Divorced,s,Husband,Other,Female,15,40,45,0
4,Never-worked,61,72,Separated,e,Unmarried,Amer-Indian-Eskimo,Male,93,20,69,0
42,Self-emp-inc,82,0,Separated,k,Not-in-family,White,Male,15,94,73,0
58,Without-pay,40,56,Married-civ-spouse,m,Own-child,White,Male,81,49,13,1
31,Self-emp-not-inc,45,19,Divorced,w,Not-in-family,Black,Male,91,15,79,0
1,Private,48,53,Married-civ-spouse,v,Wife,Black,Male,91,97,70,1
65,Self-emp-not-inc,41,82,Married-spouse-absent,x,Other-relative,Asian-Pac-Islander,Male,96,35,71,0
41,?,35,41,Divorced,b,Own-child,Asian-Pac-Islander,Female,77,9,100,1
57,Self-emp-inc,99,28,Married-AF-spouse,z,Not-in-family,Asian-Pac-Islander,Male,31,9,92,1
35,Federal-gov,30,0,Married-civ-spouse,o,Other-relative,White,Male,31,16,21,1
11,State-gov,29,6,Married-civ-spouse,l,Other-relative,Asian-Pac-Islander,Male,17,28,64,0
46,Never-worked,23,60,Divorced,m,Husband,White,Male,68,26,59,0
82,Self-emp-inc,15,52,Never-married,j,Not-in-family,Asian-Pac-Islander,Female,50,74,76,1
91,Local-gov,44,48,Divorced,h,Husband,Black,Female,31,11,68,0
0,Private,63,100,Married-AF-spouse,u,Own-child,Other,Male,31,3,31,0
14,Federal-gov,68,98,Never-married,b,Husband,Asian-Pac-Islander,Female,46,39,69,1
99,Without-pay,4,59,Married-civ-spouse,m,Husband,Amer-Indian-Eskimo,Female,74,50,10,0
53,Federal-gov,11,16,Married-civ-spouse,i,Wife,White,Male,18,0,86,0
12,Federal-gov,6,80,Divorced,a,Not-in-family,Asian-Pac-Islander,Male,48,16,18,1
42,Self-emp-not-inc,82,20,Never-married,r,Own-child,White,Female,16,54,87,0
84,Self-emp-not-inc,57,36,Never-married,v,Wife,Asian-Pac-Islander,Female,28,15,32,1
75,Never-worked,12,17,Married-spouse-absent,u,Other-relative,Black,Male,31,1,34,1
68,Private,16,83,Separated,i,Unmarried,White,Male,78,0,74,0
6,Without-pay,0,96,Divorced,t,Not-in-family,Other,Female,76,70,83,1
68,Federal-gov,90,30,Never-married,r,Wife,Other,Male,17,60,95,0
47,Self-emp-inc,73,72,Married-spouse-absent,t,Other-relative,Black,Female,23,22,85,0
3,Never-worked,7,71,Widowed,f,Other-relative,Amer-Indian-Eskimo,Female,71,52,97,0
76,?,42,94,Divorced,t,Husband,Black,Male,40,71,24,1
100,State-gov,31,68,Married-spouse-absent,s,Wife,Black,Male,58,30,96,1
52,?,26,65,Separated,y,Not-in-family,Asian-Pac-Islander,Female,100,29,31,1
78,Never-worked,86,34,Married-AF-spouse,c,Wife,Black,Male,93,42,42,0
15,Local-gov,65,70,Divorced,p,Husband,Other,Female,68,1,40,1
20,Federal-gov,43,77,Separated,i,Husband,Asian-Pac-Islander,Female,82,80,92,1
99,Federal-gov,36,48,Never-married,u,Own-child,Amer-Indian-Eskimo,Female,100,52,87,0
58,Without-pay,14,95,Married-spouse-absent,i,Not-in-family,Asian-Pac-Islander,Male,88,21,47,0
23,State-gov,3,34,Married-civ-spouse,a,Not-in-family,White,Male,89,90,38,0
79,State-gov,0,59,Separated,s,Wife,Asian-Pac-Islander,Female,59,83,99,0
13,Self-emp-not-inc,4,85,Married-spouse-absent,a,Unmarried,Black,Female,5,67,10,1
85,Self-emp-inc,17,77,Married-civ-spouse,e,Other-relative,Amer-Indian-Eskimo,Female,47,95,5,1
48,Local-gov,100,61,Divorced,c,Wife,White,Female,2,23,36,0
49,Private,76,47,Married-civ-spouse,a,Other-relative,Asian-Pac-Islander,Female,20,90,29,1
69,?,82,10,Widowed,v,Husband,Asian-Pac-Islander,Male,48,19,71,1
41,Federal-gov,46,61,Widowed,d,Husband,Black,Female,33,66,80,1
35,Without-pay,74,1,Widowed,m,Wife,Asian-Pac-Islander,Male,38,12,71,1
64,?,62,74,Widowed,m,Other-relative,Other,Female,41,39,76,0
95,State-gov,52,29,Married-spouse-absent,k,Own-child,Asian-Pac-Islander,Male,49,67,63,0
69,Never-worked,68,55,Widowed,o,Not-in-family,Amer-Indian-Eskimo,Female,93,29,3,0
94,Never-worked,52,30,Never-married,o,Own-child,Black,Female,90,13,61,0
0,Federal-gov,48,81,Married-spouse-absent,q,Own-child,Amer-Indian-Eskimo,Male,4,3,29,0
50,Local-gov,79,40,Married-civ-spouse,c,Not-in-family,White,Female,32,73,92,0
36,Federal-gov,39,46,Divorced,k,Own-child,Black,Female,47,20,35,1
