age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
48,Self-emp-not-inc,15,Divorced,Prof-specialty,Unmarried,White,1,14084,0,63,1
41,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,1887,50,1
43,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,0,0,0,48,0
34,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,0
45,Private,13,Never-married,Prof-specialty,Own-child,White,1,0,0,40,0
20,Private,10,Never-married,Sales,Not-in-family,White,0,0,0,50,0
40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,35,0
32,Private,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,0
42,Private,15,Divorced,Prof-specialty,Not-in-family,White,0,0,0,39,1
24,Private,7,Divorced,Sales,Unmarried,White,0,0,0,35,0
30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,0
22,?,10,Never-married,?,Own-child,Black,1,0,0,40,0
44,Private,9,Married-civ-spouse,Sales,Husband,Black,1,0,0,40,1
34,Private,9,Never-married,Exec-managerial,Unmarried,White,0,0,0,20,0
47,?,13,Married-civ-spouse,?,Husband,White,1,0,0,18,0
25,State-gov,13,Married-civ-spouse,Other-service,Wife,White,0,0,0,40,0
35,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,0
48,Self-emp-not-inc,7,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,50,1
22,Private,11,Never-married,Exec-managerial,Not-in-family,White,1,0,0,40,0
21,?,6,Never-married,?,Unmarried,White,0,0,0,30,0
44,Local-gov,11,Divorced,Protective-serv,Own-child,White,0,0,0,40,0
56,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
17,?,5,Never-married,?,Own-child,Black,1,0,0,40,0
23,Private,8,Never-married,Craft-repair,Not-in-family,White,1,0,0,50,0
35,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,1
54,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,1,0,1887,40,1
59,Private,4,Never-married,Farming-fishing,Unmarried,White,1,4865,0,40,0
50,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,0
41,Private,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,40,0
54,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,45,1
38,?,11,Never-married,?,Own-child,White,1,0,0,15,0
23,Private,13,Never-married,Adm-clerical,Own-child,White,0,0,0,40,0
27,Private,9,Never-married,Farming-fishing,Other-relative,White,1,0,0,40,0
31,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,1,7688,0,40,1
71,,9,Married-spouse-absent,,Not-in-family,Black,1,0,1816,40,0
50,Private,4,Married-civ-spouse,Craft-repair,Husband,Black,1,0,0,40,0
48,Private,12,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,48,1
50,Self-emp-inc,16,Married-civ-spouse,Exec-managerial,Husband,White,1,7688,0,60,1
18,Private,10,Never-married,Protective-serv,Own-child,White,0,0,0,40,0
34,Self-emp-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,72,0
67,Private,13,Married-civ-spouse,Transport-moving,Husband,White,1,0,2392,24,1
40,Self-emp-inc,13,Separated,Craft-repair,Own-child,White,1,0,0,50,0
48,Private,8,Widowed,Handlers-cleaners,Unmarried,White,0,0,0,50,0
57,Federal-gov,10,Divorced,Adm-clerical,Own-child,White,1,0,0,40,0
25,Private,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,0
36,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
23,Private,9,Never-married,Adm-clerical,Not-in-family,White,0,0,0,50,0
57,Private,9,Divorced,Adm-clerical,Other-relative,Black,0,0,0,40,0
21,Private,10,Never-married,Craft-repair,Own-child,White,1,0,0,25,0
32,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
53,Federal-gov,9,Married-civ-spouse,Sales,Husband,Black,1,5013,0,40,0
45,Private,10,Never-married,Sales,Not-in-family,White,1,0,0,52,0
27,Private,10,Divorced,Adm-clerical,Unmarried,White,0,0,0,44,0
25,Private,11,Married-civ-spouse,Sales,Wife,White,0,0,0,42,1
43,Private,10,Never-married,Exec-managerial,Not-in-family,White,0,0,0,50,0
