,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
0,29,Private,9,Never-married,Adm-clerical,Wife,Other,0,3,0,40,0
1,22,Self-emp-not-inc,4,Married-spouse-absent,Other-service,Not-in-family,White,0,10,0,50,0
2,21,Self-emp-not-inc,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,30,0
3,47,Local-gov,16,Divorced,Prof-specialty,Unmarried,Black,0,25,0,40,1
4,19,Private,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,22,0
5,30,Self-emp-not-inc,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,50,1
6,34,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,1,40,1,40,1
7,52,Private,10,Married-civ-spouse,Prof-specialty,Unmarried,White,0,26,0,50,1
8,54,Self-emp-not-inc,5,Divorced,Prof-specialty,Not-in-family,White,0,0,0,22,0
9,53,Private,3,Never-married,Sales,Not-in-family,White,0,15,0,42,0
10,27,?,9,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,0,0,2,14,1
11,30,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,1
12,38,Self-emp-not-inc,9,Separated,Craft-repair,Not-in-family,White,1,0,1,45,0
13,40,Private,9,Divorced,Transport-moving,Not-in-family,White,1,3,0,55,0
14,44,Private,9,Separated,Protective-serv,Own-child,Black,0,18,0,40,0
15,19,Private,9,Never-married,Handlers-cleaners,Own-child,White,0,5,0,35,0
16,51,Private,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,1,3870,0,52,0
17,70,Self-emp-inc,9,Married-civ-spouse,,Husband,White,1,36,1,40,1
18,35,Local-gov,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,1,0,1,40,0
19,52,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,1,24,1,40,1
20,30,Private,14,Widowed,Other-service,Not-in-family,White,0,0,0,37,0
21,39,Private,4,Divorced,Exec-managerial,Not-in-family,White,0,33,0,40,0
22,39,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,1,25,1,57,1
23,60,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
24,54,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,1,25,1,36,0
25,52,Self-emp-not-inc,10,Divorced,Sales,Not-in-family,White,0,48,0,55,0
26,57,Private,9,Never-married,Machine-op-inspct,Other-relative,White,1,0,1,21,0
27,34,Private,9,Married-civ-spouse,Transport-moving,Husband,Other,0,0,0,40,0
28,36,Private,9,Married-spouse-absent,Prof-specialty,Not-in-family,White,1,0,0,60,0
29,34,State-gov,13,Married-civ-spouse,Protective-serv,Husband,Black,0,13,0,40,1
30,56,?,11,Widowed,?,Husband,Amer-Indian-Eskimo,1,25,1,22,0
31,33,Private,8,Never-married,Farming-fishing,Other-relative,White,1,0,0,7,1
32,83,,3,Married-civ-spouse,,Husband,White,1,30,0,20,0
33,45,Private,15,Divorced,Prof-specialty,Unmarried,White,0,17,0,40,0
34,44,Private,9,Never-married,Handlers-cleaners,Not-in-family,Black,1,28,1821,40,0
35,35,Federal-gov,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
36,85,Private,9,Widowed,Other-service,Not-in-family,White,0,1,0,30,0
37,30,Self-emp-inc,9,Married-AF-spouse,Adm-clerical,Own-child,White,0,0,0,40,0
38,35,Private,3,Divorced,Adm-clerical,Not-in-family,Black,0,0,0,40,0
39,62,Federal-gov,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
40,40,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,1,22,1,56,1
41,75,Self-emp-inc,4,Widowed,Sales,Not-in-family,White,0,3210,1,22,0
42,18,Private,10,Never-married,Other-service,Own-child,White,1,0,0,21,0
43,56,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,2,0,50,0
44,78,?,10,Married-civ-spouse,?,Husband,White,1,2486,1,40,0
45,43,Private,15,Divorced,Exec-managerial,Not-in-family,White,0,13,0,13,0
46,35,Private,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,1,15313,0,36,1
47,43,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,9,0,45,1
48,47,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,39,0
49,31,Private,9,Married-civ-spouse,Adm-clerical,Wife,Black,0,0,0,40,1
50,35,Private,9,Separated,Prof-specialty,Unmarried,Black,0,0,0,40,0
51,60,Private,15,Married-civ-spouse,Exec-managerial,Wife,White,0,16,0,54,1
52,37,Private,3,Divorced,Prof-specialty,Unmarried,White,0,2,0,40,0
53,46,Federal-gov,9,Married-civ-spouse,Protective-serv,Husband,Black,1,0,1,40,0
54,54,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,Black,1,0,1,40,1
55,44,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,1,22,0
56,52,Private,4,Divorced,Adm-clerical,Not-in-family,White,0,0,0,40,0
57,65,Private,9,Married-civ-spouse,Transport-moving,Husband,White,1,18,1,46,1
58,22,Private,4,Widowed,Other-service,Not-in-family,White,0,0,0,20,0
59,43,Federal-gov,14,Divorced,Prof-specialty,Not-in-family,Black,1,19,0,60,1
60,51,Private,14,Divorced,Exec-managerial,Not-in-family,White,1,16,0,53,1
61,26,Private,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,0,3304,0,40,0
62,39,State-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,1,4732,0,45,1
63,35,Private,5,Never-married,Exec-managerial,Own-child,White,0,0,0,40,0
64,47,Private,9,Separated,Other-service,Unmarried,Black,0,3664,1,40,0
65,46,Local-gov,9,Never-married,Adm-clerical,Unmarried,Black,1,16,0,40,0
66,46,Private,3,Divorced,Other-service,Not-in-family,White,0,0,0,59,0
67,18,Local-gov,14,Married-civ-spouse,?,Own-child,Black,1,0,0,12,0
68,32,?,13,Married-civ-spouse,Transport-moving,Husband,Other,1,10,0,40,0
69,30,Private,13,Married-civ-spouse,Other-service,Wife,White,0,0,0,21,1
70,35,Private,13,Divorced,Exec-managerial,Husband,White,1,4941,1790,40,1
71,27,Private,9,Never-married,Adm-clerical,Other-relative,Black,1,19,0,40,0
72,46,Private,13,Widowed,Exec-managerial,Not-in-family,White,0,3,0,60,1
73,42,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,1,8310,0,50,1
74,23,Private,5,Married-civ-spouse,Other-service,Other-relative,White,1,2,0,38,0
75,63,Self-emp-inc,9,Married-civ-spouse,?,Husband,White,1,0,1,49,0
76,28,Private,13,Never-married,Protective-serv,Wife,Asian-Pac-Islander,0,3,0,40,1
77,35,Private,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,40,0
78,39,Local-gov,7,Married-civ-spouse,Other-service,Husband,Black,1,19,0,40,0
79,25,Private,10,Never-married,Adm-clerical,Own-child,White,0,15,0,40,0
80,22,Private,13,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,0
81,39,Private,3,Divorced,Adm-clerical,Not-in-family,White,0,14,0,53,0
82,41,Private,9,Divorced,Tech-support,Not-in-family,White,1,0,1,40,1
83,18,Private,9,Never-married,Other-service,Own-child,White,0,0,0,21,0
84,35,Federal-gov,2,Separated,Adm-clerical,Unmarried,Black,0,24,0,40,0
85,59,Private,9,Never-married,Adm-clerical,Not-in-family,White,0,2,0,60,0
86,25,Private,6,Never-married,Prof-specialty,Not-in-family,White,0,10,0,40,0
87,63,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,1,23,1,67,1
88,61,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,1,18,0,50,0
89,19,State-gov,9,Never-married,Transport-moving,Own-child,Black,1,0,1,40,0
90,50,Private,13,Divorced,Prof-specialty,Unmarried,Black,0,23,0,40,0
91,31,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,1,4262,1,64,1
92,41,Private,10,Divorced,Adm-clerical,Not-in-family,White,0,16,0,40,0
93,43,Private,13,Widowed,Prof-specialty,Not-in-family,White,1,26,2000,60,1
94,37,Private,13,Divorced,Priv-house-serv,Not-in-family,White,0,7,0,40,0
95,58,Private,3,Widowed,Other-service,Not-in-family,White,0,8,0,19,0
96,21,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,25,0,66,0
97,68,Private,14,Married-civ-spouse,Craft-repair,Husband,White,1,14,0,60,0
98,48,Private,9,Married-civ-spouse,Prof-specialty,Wife,White,0,16,0,21,1
99,37,Private,9,Never-married,Protective-serv,Not-in-family,White,1,3,0,36,1
100,17,Never-worked,9,Never-married,,Own-child,White,1,0,0,20,0
101,43,Private,3,Never-married,Priv-house-serv,Not-in-family,White,1,8,0,40,0
102,42,State-gov,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,2,0,40,1
103,28,Private,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,0
104,71,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,1,5,0,40,1
105,37,Federal-gov,10,Divorced,Adm-clerical,Unmarried,Black,0,0,1,40,0
106,42,Local-gov,14,Never-married,Prof-specialty,Not-in-family,White,0,23,0,40,1
107,30,State-gov,13,Never-married,Prof-specialty,Not-in-family,White,0,6,0,45,0
108,49,Private,14,Divorced,Exec-managerial,Not-in-family,White,0,49,0,45,1
109,49,Private,3,Divorced,Craft-repair,Unmarried,White,0,0,1,40,0
110,48,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,1,6,0,40,1
111,21,?,7,Never-married,?,Own-child,Asian-Pac-Islander,1,24,0,30,0
112,55,Private,13,Married-civ-spouse,Adm-clerical,Wife,White,0,2,1,40,1
113,39,Private,13,Married-civ-spouse,Craft-repair,Husband,White,1,40,0,40,1
114,55,Never-worked,9,Separated,Other-service,Other-relative,Black,1,0,1,23,0
115,26,Private,2,Married-civ-spouse,?,Husband,Other,1,7,0,40,0
116,67,Self-emp-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,1,32,1,50,1
117,53,Private,9,Divorced,Tech-support,Not-in-family,White,0,18,0,21,0
