,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
0,51,Private,7,Married-civ-spouse,Prof-specialty,Husband,Other,1,4632,0,40,1
1,25,Private,4,Married-spouse-absent,Other-service,Not-in-family,White,0,0,0,33,0
2,52,Self-emp-not-inc,15,Divorced,Prof-specialty,Not-in-family,White,0,0,0,40,0
3,61,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,Black,1,0,0,40,1
4,55,Private,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,0
5,20,Self-emp-not-inc,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,34,0
6,52,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,1
7,57,Private,10,Married-civ-spouse,Exec-managerial,Unmarried,White,1,0,0,45,1
8,81,Private,4,Divorced,Adm-clerical,Unmarried,White,0,0,0,32,0
9,50,Private,9,Divorced,Other-service,Not-in-family,White,0,0,0,40,0
10,20,Private,10,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,0,0,0,45,0
11,31,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,2081,50,1
12,62,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,51,1
13,54,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
14,45,Federal-gov,9,Separated,,Unmarried,Black,1,0,0,40,0
15,17,Private,7,Never-married,Farming-fishing,Own-child,White,0,0,0,10,0
16,32,Federal-gov,13,Never-married,Adm-clerical,Other-relative,White,0,8319,0,40,0
17,44,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,1
18,19,Self-emp-inc,13,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,1,0,0,36,0
19,36,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
20,58,Private,11,Widowed,Sales,Unmarried,White,0,0,0,50,0
21,60,Private,11,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,0
22,47,Self-emp-inc,13,Married-civ-spouse,Prof-specialty,Husband,Black,1,0,0,50,1
23,62,State-gov,9,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,0
24,48,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,0
25,34,Self-emp-not-inc,10,Divorced,Other-service,Not-in-family,White,0,0,0,40,0
26,19,Private,9,Never-married,Craft-repair,Other-relative,White,1,0,0,45,0
27,63,Private,5,Widowed,Farming-fishing,Not-in-family,Other,1,0,0,50,0
28,36,Private,14,Never-married,Prof-specialty,Not-in-family,White,1,0,0,61,1
29,37,Federal-gov,14,Married-civ-spouse,Protective-serv,Husband,Black,0,0,0,40,1
30,35,Private,14,Never-married,Sales,Own-child,Amer-Indian-Eskimo,1,0,0,55,0
31,28,Self-emp-not-inc,14,Never-married,Farming-fishing,Husband,White,1,0,0,57,1
32,49,,13,Married-civ-spouse,,Unmarried,White,0,0,0,25,0
33,38,Private,11,Divorced,Adm-clerical,Unmarried,White,0,0,0,40,0
34,25,State-gov,4,Never-married,Protective-serv,Not-in-family,Black,1,0,0,40,0
35,30,Federal-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,1
36,64,Private,9,Widowed,Other-service,Not-in-family,White,0,0,0,45,0
37,21,Self-emp-inc,13,Married-AF-spouse,Adm-clerical,Wife,White,0,0,2637,40,1
38,57,Self-emp-inc,16,Divorced,Exec-managerial,Not-in-family,Black,0,0,0,45,0
39,39,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,1
40,26,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,0,0,0,45,1
41,67,Private,5,Widowed,Sales,Not-in-family,White,0,10834,0,26,0
42,18,Private,10,Never-married,Sales,Own-child,White,1,0,0,20,0
43,51,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,45,1
44,46,?,10,Married-civ-spouse,?,Husband,White,1,0,0,15,1
45,24,State-gov,13,Divorced,Adm-clerical,Not-in-family,White,0,0,0,50,0
46,36,Private,9,Divorced,Prof-specialty,Not-in-family,White,0,0,1751,61,1
47,38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,52,1
48,28,Private,7,Separated,Farming-fishing,Not-in-family,White,1,0,0,40,0
49,31,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,40,0
50,53,,4,Separated,,Unmarried,White,0,0,0,15,0
51,41,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
52,19,Private,10,Never-married,Sales,Unmarried,White,0,0,0,25,0
53,42,Federal-gov,9,Married-spouse-absent,Craft-repair,Unmarried,White,1,0,0,40,0
54,48,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,1
55,40,,7,Married-civ-spouse,Sales,Husband,White,0,0,0,25,0
56,37,Private,11,Divorced,Exec-managerial,Unmarried,White,0,0,0,45,0
57,34,Private,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,0,0,0,33,1
58,47,Private,9,Widowed,Craft-repair,Not-in-family,White,0,0,0,59,0
59,42,Federal-gov,11,Divorced,Exec-managerial,Unmarried,Black,1,0,662,40,1
60,23,Private,10,Married-civ-spouse,Machine-op-inspct,Own-child,White,1,0,0,33,1
61,26,Private,5,Separated,Adm-clerical,Not-in-family,Black,0,0,0,25,0
62,34,State-gov,15,Divorced,Prof-specialty,Wife,White,0,0,0,34,0
63,23,Private,5,Never-married,Sales,Own-child,White,0,0,0,40,0
64,28,Private,9,Separated,Machine-op-inspct,Unmarried,Black,1,0,0,40,0
65,22,Local-gov,9,Never-married,Adm-clerical,Own-child,Black,1,0,0,34,0
66,42,Private,10,Divorced,Adm-clerical,Not-in-family,White,0,0,0,40,0
67,29,Local-gov,11,Married-civ-spouse,Adm-clerical,Own-child,Black,0,0,0,40,0
68,33,Private,9,Married-civ-spouse,Craft-repair,Husband,Other,1,0,0,40,0
69,30,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,50,1
70,33,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,1
71,23,?,9,Never-married,?,Other-relative,White,1,0,0,32,0
72,44,Private,15,Widowed,Adm-clerical,Wife,White,0,0,0,32,0
73,51,Private,12,Married-civ-spouse,Prof-specialty,Husband,White,0,0,0,40,1
74,29,Private,5,Married-civ-spouse,Other-service,Wife,Black,0,0,0,40,0
75,61,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,50,1
76,34,Private,13,Divorced,Protective-serv,Unmarried,White,1,0,0,38,0
77,35,Private,10,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,0
78,36,Self-emp-not-inc,11,Married-civ-spouse,Exec-managerial,Husband,Black,1,0,0,16,0
79,31,Private,14,Married-civ-spouse,Exec-managerial,Unmarried,White,0,0,0,50,1
80,37,Private,13,Married-civ-spouse,Tech-support,Husband,White,1,0,0,45,1
81,42,,11,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,59,0
82,34,Private,9,Divorced,Tech-support,Not-in-family,White,0,0,0,40,0
83,42,Private,10,Never-married,Sales,Unmarried,White,0,0,0,45,0
84,24,Federal-gov,4,Never-married,Adm-clerical,Own-child,Black,1,2838,0,40,0
85,21,Private,16,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,0
86,60,Private,9,Never-married,Exec-managerial,Not-in-family,White,0,0,0,45,0
87,34,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,1,0,0,50,1
88,67,Local-gov,10,Never-married,Protective-serv,Own-child,White,1,0,0,40,0
89,43,Private,11,Never-married,Adm-clerical,Husband,Black,1,0,0,40,0
90,41,Private,9,Separated,Craft-repair,Unmarried,Black,0,0,0,40,0
91,64,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,1
92,35,Private,10,Never-married,Tech-support,Own-child,White,0,0,0,35,0
93,22,Self-emp-not-inc,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,50,0
94,47,Private,10,Divorced,Other-service,Not-in-family,White,1,0,0,40,0
95,70,Private,5,Widowed,Other-service,Not-in-family,White,0,0,0,11,0
96,32,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,1,0,0,40,0
97,26,Private,11,Married-civ-spouse,Craft-repair,Other-relative,White,1,0,0,40,0
98,28,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,40,1
99,37,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,64,1
100,52,Never-worked,10,Widowed,?,Not-in-family,White,1,0,0,51,0
101,23,Private,5,Never-married,Other-service,Not-in-family,White,0,0,0,34,0
102,20,Self-emp-not-inc,7,Never-married,Adm-clerical,Own-child,White,0,0,0,33,0
103,20,Private,10,Never-married,Sales,Own-child,White,0,0,0,36,0
104,40,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,1,7964,0,40,1
105,41,Federal-gov,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,1,0,0,16,0
106,46,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,1
107,24,State-gov,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,0
108,32,Private,13,Divorced,Sales,Not-in-family,White,0,0,0,64,0
109,37,Private,9,Divorced,Craft-repair,Unmarried,White,0,0,0,40,0
110,31,Local-gov,11,Married-civ-spouse,Exec-managerial,Husband,White,0,0,0,50,1
