age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
75.0,Private,3.0,Married-civ-spouse,Exec-managerial,Husband,White,1,2150.0,2708.0,87.0,0
23.0,Private,11.0,Divorced,Exec-managerial,Unmarried,White,0,10754.0,170.0,62.0,0
33.0,Local-gov,9.0,Never-married,Protective-serv,Not-in-family,White,1,3382.0,86.0,44.0,0
18.0,Private,7.0,Never-married,Adm-clerical,Own-child,White,1,786.0,4295.0,4.0,0
52.0,Private,14.0,Married-civ-spouse,Other-service,Husband,White,1,2655.0,182.0,73.0,0
44.0,Private,5.0,Married-civ-spouse,Other-service,Husband,White,1,299.0,2991.0,95.0,0
31.0,Never-worked,15.0,Never-married,Sales,Own-child,White,0,2201.0,9.0,38.0,1
55.0,Private,14.0,Married-civ-spouse,Exec-managerial,Wife,White,0,3313.0,128.0,59.0,1
30.0,Private,3.0,Married-civ-spouse,Craft-repair,Husband,White,1,1632.0,103.0,59.0,1
30.0,Federal-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,1,1949.0,127.0,41.0,1
53.0,Private,7.0,Divorced,Adm-clerical,Unmarried,White,1,472.0,4325.0,85.0,1
55.0,Private,15.0,Married-civ-spouse,Craft-repair,Husband,White,1,4541.0,171.0,8.0,0
40.0,State-gov,14.0,Divorced,Prof-specialty,Unmarried,White,0,1709.0,106.0,51.0,0
38.0,Self-emp-not-inc,5.0,Married-civ-spouse,Farming-fishing,Husband,White,1,70814.0,3172.0,84.0,0
30.0,Private,9.0,Widowed,Craft-repair,Own-child,Black,1,3375.0,100.0,38.0,0
29.0,Self-emp-not-inc,9.0,Never-married,Craft-repair,Not-in-family,Black,1,3950.0,37.0,39.0,0
50.0,Private,6.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,1,7977.0,3704.0,25.0,1
46.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,1,3398.0,131.0,35.0,0
46.0,Self-emp-not-inc,12.0,Widowed,Other-service,Unmarried,White,0,3191.0,3580.0,43.0,0
24.0,Private,13.0,Never-married,Prof-specialty,Not-in-family,White,0,97165.0,119.0,51.0,0
18.0,Private,5.0,Never-married,Transport-moving,Not-in-family,White,1,634.0,163.0,62.0,0
