,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
0,36,Private,16,Never-married,?,Husband,White,1,28688,1,48,1
1,49,Private,12,Divorced,Craft-repair,Husband,White,1,87627,0,50,0
2,86,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,1,66824,0,44,1
3,40,Self-emp-not-inc,9,Never-married,Craft-repair,Husband,White,0,49,0,28,0
4,38,Private,11,Never-married,Adm-clerical,Husband,White,0,80785,16,38,0
5,24,Private,11,Never-married,Exec-managerial,Not-in-family,Black,0,99718,0,42,0
6,32,Private,8,Married-civ-spouse,Craft-repair,Not-in-family,White,0,9337,0,11,0
7,37,Private,11,Never-married,Handlers-cleaners,Own-child,White,0,2687,0,26,0
8,30,Private,8,Married-civ-spouse,Handlers-cleaners,Own-child,Black,1,91127,0,37,1
9,23,Self-emp-inc,12,Married-civ-spouse,Sales,Husband,White,0,99763,0,24,0
10,20,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,Black,1,970,0,48,1
11,39,Self-emp-inc,8,Widowed,Sales,Not-in-family,Black,1,49,0,26,0
12,26,Private,14,Divorced,Farming-fishing,Not-in-family,White,1,3,4275,35,0
13,52,Local-gov,10,Divorced,Tech-support,Own-child,White,0,29749,0,13,0
14,34,Self-emp-not-inc,10,Married-civ-spouse,Other-service,Wife,White,1,99942,0,49,0
15,56,Private,13,Divorced,Prof-specialty,Husband,White,1,5106,87,54,1
16,43,Private,4,Married-civ-spouse,Other-service,Other-relative,White,1,14206,0,10,0
17,51,Self-emp-not-inc,14,Never-married,?,Husband,White,1,99634,0,60,1
18,34,Private,12,Married-civ-spouse,Prof-specialty,Husband,White,1,94840,0,38,0
19,25,Private,6,Married-civ-spouse,Transport-moving,Other-relative,White,1,51900,317,53,0
20,21,Federal-gov,10,Divorced,Adm-clerical,Wife,White,1,46679,0,44,1
21,60,Private,13,Never-married,Farming-fishing,Unmarried,White,1,2267,358,37,0
22,74,Private,12,Divorced,Craft-repair,Not-in-family,White,0,208,170,47,1
23,49,Private,10,Married-civ-spouse,Prof-specialty,Husband,Black,0,23539,0,33,0
24,42,Private,12,Married-civ-spouse,Prof-specialty,Own-child,White,0,8776,3789,52,0
25,40,State-gov,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,88814,0,45,1
26,36,Self-emp-not-inc,7,Married-civ-spouse,Craft-repair,Husband,White,0,34336,0,40,0
27,17,Self-emp-not-inc,5,Never-married,?,Husband,Black,1,0,0,39,0
28,24,Private,10,Never-married,Sales,Own-child,White,0,219,0,25,0
