,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
0,19,Private,13,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,0
1,55,Private,10,Married-civ-spouse,Craft-repair,Husband,White,1,4,0,40,1
2,38,?,13,Never-married,?,Not-in-family,White,0,0,0,40,0
3,22,Self-emp-not-inc,9,Never-married,Sales,Not-in-family,White,1,1,0,16,0
4,41,Private,10,Separated,Prof-specialty,Unmarried,White,0,1,0,40,0
5,32,Private,10,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,0
6,29,Private,9,Married-civ-spouse,Other-service,Husband,White,1,0,0,40,0
7,20,Private,10,Never-married,Other-service,Not-in-family,White,0,0,0,20,0
8,55,Self-emp-not-inc,9,Divorced,Farming-fishing,Not-in-family,White,1,0,0,60,0
9,45,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,0
10,35,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,0
11,29,Private,9,Separated,Adm-clerical,Unmarried,White,0,0,0,40,0
12,49,Private,9,Married-civ-spouse,Other-service,Wife,White,0,1,0,40,0
13,20,Private,7,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,0
14,34,Private,9,Married-civ-spouse,Transport-moving,Husband,White,1,3,0,40,0
15,36,?,9,Never-married,?,Not-in-family,White,1,0,0,40,0
16,20,Private,9,Never-married,Craft-repair,Own-child,White,1,0,0,40,0
17,33,Private,9,Married-civ-spouse,Prof-specialty,Wife,White,0,2,0,40,1
18,21,Private,10,Never-married,Other-service,Own-child,White,0,1,0,20,0
19,60,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,1,1,0,40,0
20,19,Private,10,Never-married,Other-service,Own-child,White,0,0,0,21,0
21,64,,3,Divorced,,Not-in-family,White,1,0,0,40,0
22,26,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,1,0,0,45,0
23,30,Private,10,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,0
24,30,Private,10,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,45,0
25,36,?,15,Never-married,Prof-specialty,Not-in-family,White,1,0,0,40,0
26,40,Private,10,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,0
27,30,Private,12,Married-civ-spouse,Prof-specialty,Husband,White,1,2,0,40,0
28,42,Private,13,Never-married,Exec-managerial,Not-in-family,White,0,0,1681,40,0
29,41,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,1,4,0,40,0
