,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
32864,26,Private,9,Divorced,Exec-managerial,Own-child,White,Female,0,0,40,0
2341,45,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
18045,23,Private,10,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,0
38112,47,Private,9,Separated,Craft-repair,Other-relative,White,Female,0,0,40,0
13152,32,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,0
12024,67,Private,10,Divorced,Other-service,Unmarried,Black,Female,0,0,41,0
363,43,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,1564,45,1
32779,31,Private,11,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,0
32373,22,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,0
11232,35,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,0
1654,41,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,1
26209,32,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,43,1
26901,42,Private,10,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,0
37382,55,,9,Widowed,,Unmarried,White,Female,0,0,35,0
25031,20,Private,5,Never-married,Exec-managerial,Other-relative,White,Female,0,0,40,0
31067,47,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
37713,44,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,0
4808,49,State-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,1
47609,40,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,1
38457,19,,10,Never-married,,Own-child,Black,Male,0,0,30,0
44245,64,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,0
10559,28,Private,2,Never-married,Farming-fishing,Unmarried,White,Male,0,0,77,0
7555,44,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
44103,32,Private,10,Never-married,Tech-support,Not-in-family,Black,Female,0,0,40,0
36744,29,Private,7,Separated,Craft-repair,Unmarried,White,Male,0,0,40,0
35676,33,Self-emp-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,55,1
1148,61,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,1
29350,18,Federal-gov,10,Never-married,Sales,Own-child,White,Female,0,0,32,0
12228,40,Private,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,0
13605,39,Private,7,Divorced,Transport-moving,Own-child,White,Male,0,0,40,0
24146,52,Private,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,0
33890,33,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,0
29508,18,Private,6,Never-married,Other-service,Own-child,White,Female,0,0,3,0
15667,66,Private,9,Widowed,Priv-house-serv,Not-in-family,White,Female,0,0,8,0
48123,21,Private,10,Never-married,Sales,Not-in-family,White,Female,0,0,25,0
37339,51,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,1
19342,26,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,0
