,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
10327,48,Self-emp-not-inc,15,Divorced,Prof-specialty,Unmarried,White,Male,14084,0,63,1
4131,41,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50,1
3474,43,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,48,0
35292,34,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,0
6926,45,Private,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,0
40403,20,Private,10,Never-married,Sales,Not-in-family,White,Female,0,0,50,0
20211,40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,0
43133,32,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,0
30066,42,Private,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,1
5950,24,Private,7,Divorced,Sales,Unmarried,White,Female,0,0,35,0
28488,30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
811,22,?,10,Never-married,?,Own-child,Black,Male,0,0,40,0
41547,44,Private,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,1
7617,34,Private,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,20,0
19786,47,?,13,Married-civ-spouse,?,Husband,White,Male,0,0,18,0
42151,25,State-gov,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,0
33450,35,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,0
1978,48,Self-emp-not-inc,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,1
39268,22,Private,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,0
13626,21,?,6,Never-married,?,Unmarried,White,Female,0,0,30,0
19119,44,Local-gov,11,Divorced,Protective-serv,Own-child,White,Female,0,0,40,0
3153,56,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
5147,17,?,5,Never-married,?,Own-child,Black,Male,0,0,40,0
31098,23,Private,8,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,0
14822,35,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,1
32731,54,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,1
23027,59,Private,4,Never-married,Farming-fishing,Unmarried,White,Male,4865,0,40,0
22316,50,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,0
33046,41,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,0
12442,54,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,1
30468,38,?,11,Never-married,?,Own-child,White,Male,0,0,15,0
44734,23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,0
31672,27,Private,9,Never-married,Farming-fishing,Other-relative,White,Male,0,0,40,0
39104,31,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,1
47352,71,,9,Married-spouse-absent,,Not-in-family,Black,Male,0,1816,40,0
36495,50,Private,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,0
34359,48,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,1
36626,50,Self-emp-inc,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,1
35488,18,Private,10,Never-married,Protective-serv,Own-child,White,Female,0,0,40,0
3287,34,Self-emp-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,0
40691,67,Private,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2392,24,1
27565,40,Self-emp-inc,13,Separated,Craft-repair,Own-child,White,Male,0,0,50,0
14258,48,Private,8,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,50,0
22144,57,Federal-gov,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,0
21849,25,Private,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,0
47403,36,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
21018,23,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,0
18191,57,Private,9,Divorced,Adm-clerical,Other-relative,Black,Female,0,0,40,0
39433,21,Private,10,Never-married,Craft-repair,Own-child,White,Male,0,0,25,0
39869,32,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
34222,53,Federal-gov,9,Married-civ-spouse,Sales,Husband,Black,Male,5013,0,40,0
10785,45,Private,10,Never-married,Sales,Not-in-family,White,Male,0,0,52,0
22278,27,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,44,0
9822,25,Private,11,Married-civ-spouse,Sales,Wife,White,Female,0,0,42,1
10181,43,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,0
1864,38,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,54,1
8088,54,?,1,Married-civ-spouse,?,Wife,White,Female,0,0,40,0
8409,51,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
11649,25,Private,10,Never-married,Sales,Own-child,White,Male,0,0,40,0
24342,49,Self-emp-not-inc,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,0
17048,61,Federal-gov,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,0
2401,20,Private,10,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,0,0,40,0
20498,28,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,60,0
22899,48,Private,6,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,0
48352,53,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,1887,48,1
24327,48,Self-emp-not-inc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,25,1
19530,30,Local-gov,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,0
16448,44,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,0
2038,49,State-gov,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
22799,25,Self-emp-not-inc,10,Never-married,Other-service,Not-in-family,White,Female,0,0,22,0
10996,39,State-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,0
43394,20,,10,Never-married,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,28,0
2561,40,Private,5,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,0
18203,58,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,1
45529,55,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,74,1
47165,52,,10,Married-civ-spouse,,Husband,White,Male,0,0,80,0
22769,28,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,0
24860,23,Private,5,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,35,0
40185,65,Local-gov,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,6418,0,45,1
32780,23,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,0
47461,28,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
16406,28,Self-emp-not-inc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,0
29295,51,Local-gov,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,0
28614,19,Private,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,0
12734,18,Private,10,Never-married,Sales,Own-child,Black,Female,0,0,21,0
17067,23,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,3908,0,40,0
19536,43,Private,10,Married-civ-spouse,Protective-serv,Husband,Other,Male,0,0,32,0
37198,33,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,1
15553,41,Private,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
10280,33,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,0
5933,47,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
13311,48,Private,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
64,29,Private,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,0
23916,34,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
16778,43,Private,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,1
35930,27,Private,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,0
