,acc,prec,rec,f1
mitigation_0,0.8412886414781475,0.8143877076613131,0.7908939161591644,0.8009982015008554
mitigation_1,0.8364325476726282,0.8084132140730228,0.7842503306022359,0.7945517854989097
mitigation_2,0.8222195901930593,0.7852475507139282,0.7840877765894004,0.7846626291535148
mitigation_3,0.8199692052587942,0.7831328768389322,0.7776187848271887,0.7802632069186195
mitigation_4,0.8275494492478976,0.7934105600607408,0.7830925444786849,0.7878849954709257
mitigation_5,0.8219827075683999,0.7868190729639251,0.7748758851105002,0.7803436147235323
mitigation_6,0.8238777685656757,0.7881953481259036,0.7812128801654394,0.7845293147006985
mitigation_7,0.8187847921354968,0.7812220760986792,0.7789242363318969,0.780053089148224
mitigation_8,0.820561411820443,0.783784521920882,0.7787511687067145,0.7811741037003329
mitigation_9,0.8222195901930593,0.7858251182593614,0.7807555719432249,0.7831962571974915
mitigation_10,0.8247068577519839,0.7902719819305495,0.7781093296303712,0.7836774235543571
mitigation_11,0.8209167357574322,0.7842106571229744,0.7792401873403627,0.7816341812467209
mitigation_12,0.8222195901930593,0.7862185363525235,0.7788514550025532,0.7823388019903319
mitigation_13,0.8151131114532749,0.7771559262170045,0.7716892431230122,0.7743083537923023
mitigation_14,0.8155868767025939,0.77780001164246,0.7719049078356393,0.7747203474410662
mitigation_15,0.8165344072012318,0.7790765100559229,0.7724552445696853,0.7756008976714251
mitigation_16,0.8154684353902641,0.77736225957069,0.7736063494621643,0.7754299853125113
mitigation_17,0.8165344072012318,0.7789911229413343,0.7729312738048533,0.7758225786697651
mitigation_18,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_19,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_20,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_21,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_22,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_23,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_24,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_25,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_26,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_27,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_28,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_29,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_30,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_31,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_32,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_33,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_34,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_35,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_36,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_37,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_38,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_39,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_40,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_41,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_42,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_43,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_44,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_45,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_46,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_47,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_48,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_49,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_50,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_51,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_52,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_53,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_54,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_55,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_56,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_57,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_58,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_59,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_60,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_61,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_62,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_63,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_64,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_65,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_66,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_67,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_68,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_69,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_70,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_71,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_72,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_73,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_74,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_75,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_76,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_77,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_78,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_79,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_80,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_81,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_82,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_83,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_84,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_85,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_86,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_87,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_88,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_89,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_90,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_91,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_92,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_93,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_94,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_95,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_96,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
mitigation_97,0.8159422006395831,0.7781882750463203,0.7726319410868715,0.7752927916109085
mitigation_98,0.8155868767025939,0.777779878816693,0.7720239151444312,0.774775849668033
